Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
36,An Giang,"An Giang, Kiên Giang",Xã Hòa Thuận,"Xã Ngọc Hòa, Xã Hòa Thuận"
37,An Giang,"An Giang, Kiên Giang",Xã Hòn Đất,"Thị trấn Hòn Đất, Xã Lình Huỳnh, Xã Thổ Sơn, Xã Nam Thái Sơn"
38,An Giang,"An Giang, Kiên Giang",Phường Hòn Nghệ,Hòn Nghệ
39,An Giang,"An Giang, Kiên Giang",Xã Hội An,"Thị trấn Hội An, Xã Hòa An (huyện Chợ Mới), Xã Hòa Bình"
40,An Giang,"An Giang, Kiên Giang",Phường Khánh Bình,Khánh Bình
41,An Giang,"An Giang, Kiên Giang",Phường Kiên Hải,Huyện Kiên Hải
42,An Giang,"An Giang, Kiên Giang",Xã Kiên Lương,"Thị trấn Kiên Lương, Xã Bình An (huyện Kiên Lương), Xã Bình Trị"
43,An Giang,"An Giang, Kiên Giang",Xã Long Điền,"Thị trấn Mỹ Luông, Xã Long Điền A, Xã Long Điền B"
44,An Giang,"An Giang, Kiên Giang",Xã Long Kiến,"Xã An Thạnh Trung, Xã Mỹ An, Xã Long Kiến"
45,An Giang,"An Giang, Kiên Giang",Phường Long Phú,"Phường Long Hưng, Phường Long Châu, Phường Long Phú"
46,An Giang,"An Giang, Kiên Giang",Xã Long Thạnh,"Xã Vĩnh Phú (huyện Giồng Riềng), Xã Vĩnh Thạnh, Xã Long Thạnh"
47,An Giang,"An Giang, Kiên Giang",Phường Long Xuyên,"Phường Mỹ Bình, Phường Mỹ Long, Phường Mỹ Xuyên, Phường Mỹ Phước,
Phường Mỹ Quý, Phường Mỹ Hòa"
48,An Giang,"An Giang, Kiên Giang",Xã Mỹ Đức,"Xã Khánh Hòa, Xã Mỹ Đức"
49,An Giang,"An Giang, Kiên Giang",Phường Mỹ Hòa Hưng,Mỹ Hòa Hưng
50,An Giang,"An Giang, Kiên Giang",Phường Mỹ Thới,"Phường Mỹ Thạnh, Phường Mỹ Thới"
51,An Giang,"An Giang, Kiên Giang",Xã Mỹ Thuận,"Thị trấn Sóc Sơn, Xã Mỹ Hiệp Sơn, Xã Mỹ Phước, Xã Mỹ Thuận"
52,An Giang,"An Giang, Kiên Giang",Xã Ngọc Chúc,"Xã Ngọc Thuận, Xã Ngọc Thành, Xã Ngọc Chúc"
53,An Giang,"An Giang, Kiên Giang",Xã Nhơn Hội,"Xã Quốc Thái, Xã Nhơn Hội, Xã Phước Hưng, Xã Phú Hội (phần còn lại sau
khi sáp nhập vào xã An Phú)"
54,An Giang,"An Giang, Kiên Giang",Xã Nhơn Mỹ,"Xã Mỹ Hội Đông, Xã Long Giang, Xã Nhơn Mỹ"
55,An Giang,"An Giang, Kiên Giang",Xã Núi Cấm,"Xã Tân Lập, Xã An Hảo"
56,An Giang,"An Giang, Kiên Giang",Xã Óc Eo,"Thị trấn Óc Eo, Xã Vọng Thê, Xã Vọng Đông"
57,An Giang,"An Giang, Kiên Giang",Xã Ô Lâm,"Xã An Tức, Xã Lương Phi, Xã Ô Lâm"
58,An Giang,"An Giang, Kiên Giang",Xã Phú An,"Xã Phú Thọ, Xã Phú Xuân, Xã Phú An"
59,An Giang,"An Giang, Kiên Giang",Xã Phú Hòa,"Thị trấn Phú Hòa, Xã Phú Thuận, Xã Vĩnh Chánh"
60,An Giang,"An Giang, Kiên Giang",Xã Phú Hữu,"Xã Phú Hữu, Xã Vĩnh Lộc, Xã Phước Hưng (phần còn lại sau khi sáp nhập
vào xã An Phú và Nhơn Hội)"
61,An Giang,"An Giang, Kiên Giang",Xã Phú Lâm,"Xã Long Hòa, Xã Phú Long, Xã Phú Lâm"
62,An Giang,"An Giang, Kiên Giang",Xã Phú Quốc,"Phường Dương Đông, Phường An Thới, Xã Dương Tơ, Xã Hàm Ninh, Xã
Cửa Dương, Xã Bãi Thơm, Xã Gành Dầu, Xã Cửa Cạn"
63,An Giang,"An Giang, Kiên Giang",Xã Phú Tân,"Thị trấn Phú Mỹ, Xã Tân Hòa (huyện Phú Tân), Xã Tân Trung, Xã Phú Hưng"
64,An Giang,"An Giang, Kiên Giang",Phường Rạch Giá,"Phường Vĩnh Quang, Phường Vĩnh Thanh, Phường Vĩnh Thanh Vân, Phường Vĩnh Lạc, Phường An Hòa, Phường Vĩnh Hiệp, Phường An Bình,
Phường Rạch Sỏi, Phường Vĩnh Lợi"
65,An Giang,"An Giang, Kiên Giang",Phường Sơn Hải,Sơn Hải
66,An Giang,"An Giang, Kiên Giang",Xã Sơn Kiên,"Xã Sơn Bình, Xã Mỹ Thái, Xã Sơn Kiên"
67,An Giang,"An Giang, Kiên Giang",Xã Tân An,"Xã Tân An, Xã Tân Thạnh (thị xã Tân Châu), Xã Long An"
68,An Giang,"An Giang, Kiên Giang",Phường Tân Châu,"Phường Long Thạnh, Phường Long Sơn"
69,An Giang,"An Giang, Kiên Giang",Xã Tân Hiệp,"Thị trấn Tân Hiệp, Xã Tân Hiệp B, Xã Thạnh Đông B, Xã Thạnh Đông"
70,An Giang,"An Giang, Kiên Giang",Xã Tân Hội,"Xã Tân Hòa, Xã Tân An (huyện Tân Hiệp), Xã Tân Thành, Xã Tân Hội"
71,An Giang,"An Giang, Kiên Giang",Xã Tân Thạnh,"Xã Tân Thạnh (huyện An Minh), Xã Thuận Hòa"
72,An Giang,"An Giang, Kiên Giang",Xã Tây Phú,"Xã An Bình, Xã Mỹ Phú Đông, Xã Tây Phú"
73,An Giang,"An Giang, Kiên Giang",Xã Tây Yên,"Xã Tây Yên A, Xã Nam Yên, Xã Tây Yên"
74,An Giang,"An Giang, Kiên Giang",Xã Thạnh Đông,"Xã Tân Hiệp A, Xã Thạnh Trị, Xã Thạnh Đông A"
75,An Giang,"An Giang, Kiên Giang",Xã Thạnh Hưng,"Xã Thạnh Lộc (huyện Giồng Riềng), Xã Thạnh Phước, Xã Thạnh Hưng"
76,An Giang,"An Giang, Kiên Giang",Xã Thạnh Lộc,"Xã Thạnh Lộc (huyện Châu Thành), Xã Mong Thọ, Xã Mong Thọ A, Xã
Mong Thọ B"
77,An Giang,"An Giang, Kiên Giang",Xã Thạnh Mỹ Tây,"Xã Đào Hữu Cảnh, Xã Ô Long Vĩ, Xã Thạnh Mỹ Tây"
78,An Giang,"An Giang, Kiên Giang",Xã Thoại Sơn,"Thị trấn Núi Sập, Xã Thoại Giang, Xã Bình Thành"
79,An Giang,"An Giang, Kiên Giang",Phường Thổ Châu,Xã Thổ Châu
80,An Giang,"An Giang, Kiên Giang",Phường Thới Sơn,"Phường Nhơn Hưng, Phường Nhà Bàng, Phường Thới Sơn"
81,An Giang,"An Giang, Kiên Giang",Phường Tiên Hải,Tiên Hải
82,An Giang,"An Giang, Kiên Giang",Phường Tịnh Biên,"Phường An Phú, Phường Tịnh Biên, Xã An Nông"
83,An Giang,"An Giang, Kiên Giang",Xã Tô Châu,"Phường Tô Châu, Xã Thuận Yên, Xã Dương Hòa"
84,An Giang,"An Giang, Kiên Giang",Xã Tri Tôn,"Thị trấn Tri Tôn, Xã Núi Tô, Xã Châu Lăng"
85,An Giang,"An Giang, Kiên Giang",Xã U Minh Thượng,"Xã An Minh Bắc, Xã Minh Thuận"
86,An Giang,"An Giang, Kiên Giang",Xã Vân Khánh,"Xã Vân Khánh Tây, Xã Vân Khánh"
87,An Giang,"An Giang, Kiên Giang",Xã Vĩnh An,"Thị trấn Vĩnh Bình, Xã Tân Phú, Xã Vĩnh An"
88,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Bình,"Xã Vĩnh Bình Bắc, Xã Vĩnh Bình Nam, Xã Bình Minh"
89,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Điều,"Xã Vĩnh Phú (huyện Giang Thành), Xã Vĩnh Điều"
90,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Gia,"Xã Vĩnh Phước, Xã Lương An Trà, Xã Vĩnh Gia"
91,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Hanh,"Xã Vĩnh Nhuận, Xã Vĩnh Hanh"
92,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Hậu,"Thị trấn Đa Phước, Xã Vĩnh Trường, Xã Vĩnh Hậu"
93,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Hòa,"Xã Vĩnh Hòa (huyện U Minh Thượng), Xã Thạnh Yên A, Xã Hòa Chánh, Xã
Thạnh Yên"
94,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Hòa Hưng,"Xã Vĩnh Hòa Hưng Bắc, Xã Vĩnh Hòa Hưng Nam"
95,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Phong,"Thị trấn Vĩnh Thuận, Xã Phong Đông, Xã Vĩnh Phong"
96,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Tế,"Phường Núi Sam, Xã Vĩnh Tế, Xã Vĩnh Châu (phần còn lại sau khi sáp nhập vào phường Châu Đốc)"
97,An Giang,"An Giang, Kiên Giang",Phường Vĩnh Thạnh Trung,"Thị trấn Vĩnh Thạnh Trung, Xã Mỹ Phú"
98,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Thông,"Phường Vĩnh Thông, Xã Phi Thông, Xã Mỹ Lâm"
99,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Thuận,"Xã Tân Thuận, Xã Vĩnh Thuận"
100,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Trạch,"Xã Vĩnh Khánh, Xã Vĩnh Trạch"
101,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Tuy,"Xã Vĩnh Thắng, Xã Vĩnh Phước A, Xã Vĩnh Tuy"
102,An Giang,"An Giang, Kiên Giang",Xã Vĩnh Xương,"Xã Vĩnh Hòa (thị xã Tân Châu), Xã Phú Lộc, Xã Vĩnh Xương"
103,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã An Lạc,"Xã Lệ Viễn, Xã An Lạc"
104,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Bảo Đài,"Xã Bảo Sơn, Xã Thanh Lâm, Xã Tam Dị, Xã Bảo Đài"
105,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Bắc Giang,"Phường Thọ Xương, Phường Ngô Quyền, Phường Xương Giang, Phường
Hoàng Văn Thụ, Phường Trần Phú, Phường Dĩnh Kế, Phường Dĩnh Trì"
106,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Bắc Lũng,"Xã Yên Sơn, Xã Lan Mẫu, Xã Khám Lạng, Xã Bắc Lũng"
107,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Biển Động,"Thị trấn Biển Động, Xã Kim Sơn, Xã Phú Nhuận"
108,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Biên Sơn,"Xã Phong Vân, Xã Biên Sơn, Trường bắn TB1"
109,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Bố Hạ,"Thị trấn Bố Hạ, Xã Đông Sơn, Xã Hương Vĩ"
110,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Bồng Lai,"Phường Cách Bi, Phường Bồng Lai, Xã Mộ Đạo"
111,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Cảnh Thụy,"Phường Cảnh Thụy, Xã Tiến Dũng, Xã Tư Mại"
112,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Cao Đức,"Xã Vạn Ninh, Xã Cao Đức"
113,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Cẩm Lý,"Xã Đan Hội, Xã Cẩm Lý"
114,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Chi Lăng,"Xã Yên Giả, Xã Chi Lăng"
115,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Chũ,"Phường Thanh Hải, Phường Hồng Giang, Phường Trù Hựu, Phường Chũ"
116,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Dương Hưu,"Xã Long Sơn, Xã Dương Hưu"
117,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Đa Mai,"Phường Tân Mỹ, Phường Mỹ Độ, Phường Song Mai, Phường Đa Mai, Xã
Quế Nham"
118,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đại Đồng,"Xã Tri Phương, Xã Hoàn Sơn, Xã Đại Đồng"
119,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đại Lai,"Xã Song Giang, Xã Đại Lai"
120,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đại Sơn,"Xã Giáo Liêm, Xã Phúc Sơn, Xã Đại Sơn"
121,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đào Viên,"Phường Phù Lương, Xã Ngọc Xá, Xã Đào Viên"
122,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đèo Gia,"Xã Tân Lập, Xã Đèo Gia"
123,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đông Cứu,"Xã Giang Sơn, Xã Lãng Ngâm, Xã Đông Cứu"
124,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đồng Kỳ,"Xã Đồng Hưu, Xã Đồng Vương, Xã Đồng Kỳ"
125,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Đồng Nguyên,"Phường Trang Hạ, Phường Đồng Kỵ, Phường Đồng Nguyên"
126,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đông Phú,"Xã Đông Hưng, Xã Đông Phú"
127,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Đồng Việt,"Xã Đức Giang, Xã Đồng Phúc, Xã Đồng Việt"
128,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Gia Bình,"Thị trấn Gia Bình, Xã Xuân Lai, Xã Quỳnh Phú, Xã Đại Bái"
129,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Hạp Lĩnh,"Phường Khắc Niệm, Phường Hạp Lĩnh"
130,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Hiệp Hòa,"Thị trấn Thắng, Xã Đông Lỗ, Xã Đoan Bái, Xã Danh Thắng, Xã Lương
Phong"
131,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Hoàng Vân,"Xã Đồng Tiến (huyện Hiệp Hòa), Xã Toàn Thắng, Xã Ngọc Sơn, Xã Hoàng
Vân"
132,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Hợp Thịnh,"Xã Thường Thắng, Xã Mai Trung, Xã Hùng Thái, Xã Sơn Thịnh, Xã Hợp
Thịnh"
133,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Kép,"Thị trấn Kép, Xã Quang Thịnh, Xã Hương Sơn"
134,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Kiên Lao,"Xã Kiên Thành, Xã Kiên Lao"
135,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Kinh Bắc,"Phường Suối Hoa, Phường Tiền Ninh Vệ, Phường Vạn An, Phường Hòa Long, Phường Khúc Xuyên, Phường Kinh Bắc"
136,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lạng Giang,"Thị trấn Vôi, Xã Xương Lâm, Xã Hương Lạc, Xã Tân Hưng"
137,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lâm Thao,"Xã Bình Định, Xã Quảng Phú, Xã Lâm Thao"
138,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Liên Bão,"Xã Hiên Vân, Xã Việt Đoàn, Xã Liên Bão"
139,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lục Nam,"Thị trấn Phương Sơn, Thị trấn Đồi Ngô, Xã Cương Sơn, Xã Tiên Nha, Xã
Chu Điện"
140,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lục Ngạn,"Thị trấn Phì Điền, Xã Giáp Sơn, Xã Đồng Cốc, Xã Tân Hoa, Xã Tân Quang"
141,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lục Sơn,"Xã Bình Sơn, Xã Lục Sơn"
142,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Lương Tài,"Thị trấn Thứa, Xã Phú Hòa, Xã Tân Lãng"
143,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Mão Điền,"Phường An Bình, Xã Hoài Thượng, Xã Mão Điền"
144,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Mỹ Thái,"Xã Xuân Hương, Xã Dương Đức, Xã Tân Thanh, Xã Mỹ Thái"
145,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Nam Dương,"Xã Tân Mộc, Xã Nam Dương"
146,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Nam Sơn,"Phường Vân Dương, Phường Nam Sơn"
147,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Nếnh,"Phường Quang Châu, Phường Vân Trung, Phường Tăng Tiến, Phường Nếnh"
148,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Nghĩa Phương,"Xã Trường Giang, Xã Huyền Sơn, Xã Nghĩa Phương"
149,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Ngọc Thiện,"Xã Song Vân, Xã Ngọc Châu, Xã Ngọc Vân, Xã Việt Ngọc, Xã Ngọc Thiện"
150,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Nhã Nam,"Thị trấn Nhã Nam, Xã Tân Trung, Xã Liên Sơn, Xã An Dương"
151,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Nhân Hòa,"Phường Đại Xuân, Phường Nhân Hòa, Xã Việt Thống"
152,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Nhân Thắng,"Thị trấn Nhân Thắng, Xã Thái Bảo, Xã Bình Dương"
153,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Ninh Xá,"Phường Ninh Xá, Xã Nguyệt Đức"
154,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Phật Tích,"Xã Minh Đạo, Xã Cảnh Hưng, Xã Phật Tích"
155,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Phù Khê,"Phường Châu Khê, Phường Hương Mạc, Phường Phù Khê"
156,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Phù Lãng,"Xã Châu Phong, Xã Đức Long, Xã Phù Lãng"
157,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Phúc Hoà,"Xã Hợp Đức, Xã Liên Chung, Xã Phúc Hòa"
158,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Phương Liễu,"Phường Phượng Mao, Phường Phương Liễu"
159,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Phượng Sơn,"Phường Phượng Sơn, Xã Quý Sơn, Xã Mỹ An"
160,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Quang Trung,"Xã Lam Sơn, Xã Quang Trung"
161,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Quế Võ,"Phường Phố Mới, Phường Bằng An, Phường Việt Hùng, Phường Quế Tân"
162,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Sa Lý,"Xã Phong Minh, Xã Sa Lý"
163,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Song Liễu,"Phường Xuân Lâm, Phường Hà Mãn, Xã Ngũ Thái, Xã Song Liễu"
164,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Sơn Động,"Thị trấn An Châu, Xã An Bá, Xã Vĩnh An"
165,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Sơn Hải,"Xã Hộ Đáp, Xã Sơn Hải"
166,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tam Đa,"Xã Thụy Hòa, Xã Đông Phong, Xã Tam Đa"
167,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tam Giang,"Xã Hòa Tiến, Xã Tam Giang"
168,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Tam Sơn,"Phường Tương Giang, Phường Tam Sơn"
169,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tam Tiến,"Xã Tiến Thắng, Xã An Thượng, Xã Tam Tiến"
170,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tân An,"Phường Tân An, Xã Quỳnh Sơn, Xã Trí Yên, Xã Lãng Sơn"
171,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tân Chi,"Xã Lạc Vệ, Xã Tân Chi"
172,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tân Dĩnh,"Xã Tân Dĩnh, Xã Thái Đào, Xã Đại Lâm"
173,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tân Sơn,"Xã Cấm Sơn, Xã Tân Sơn"
174,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Tân Tiến,"Phường Hương Gián, Phường Tân Tiến, Xã Xuân Phú"
175,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tân Yên,"Thị trấn Cao Thượng, Xã Cao Xá, Xã Việt Lập, Xã Ngọc Lý"
176,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Tây Yên Tử,"Thị trấn Tây Yên Tử, Xã Thanh Luận"
177,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Thuận Thành,"Phường Hồ, Phường Song Hồ, Phường Gia Đông, Xã Đại Đồng Thành"
178,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tiên Du,"Thị trấn Lim, Xã Nội Duệ, Xã Phú Lâm"
179,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tiên Lục,"Xã Đào Mỹ, Xã Nghĩa Hòa, Xã An Hà, Xã Nghĩa Hưng, Xã Tiên Lục"
180,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Tiền Phong,"Phường Nội Hoàng, Phường Song Khê, Phường Đồng Sơn, Phường Tiền Phong"
181,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Trạm Lộ,"Phường Trạm Lộ, Xã Nghĩa Đạo"
182,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Trí Quả,"Phường Thanh Khương, Phường Trí Quả, Xã Đình Tổ"
183,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Trung Chính,"Xã Phú Lương, Xã Quang Minh, Xã Trung Chính"
184,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Trung Kênh,"Xã An Thịnh, Xã An Tập, Xã Trung Kênh"
185,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Trường Sơn,"Xã Vô Tranh, Xã Trường Sơn"
186,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Tuấn Đạo,Tuấn Đạo
187,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Tự Lạn,"Phường Tự Lạn, Xã Việt Tiến, Xã Thượng Lan, Xã Hương Mai"
188,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Từ Sơn,"Phường Đông Ngàn, Phường Tân Hồng, Phường Phù Chẩn, Phường Đình
Bảng"
